subassembly,fabrication_class,part_id,file_name,path,size_bytes,sha256
500,OFF_THE_SHELF,ASV1_500_20X,ASV1_500_20X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_20X.STEP,647542,fe65362ae1b5cc55530fadf9cfee1b7d00922cb1a3ef4f053f5f6d0a4209a8f2
500,OFF_THE_SHELF,ASV1_500_21X,ASV1_500_21X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_21X.STEP,647542,fe65362ae1b5cc55530fadf9cfee1b7d00922cb1a3ef4f053f5f6d0a4209a8f2
500,OFF_THE_SHELF,ASV1_500_22X,ASV1_500_22X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_22X.STEP,647542,fe65362ae1b5cc55530fadf9cfee1b7d00922cb1a3ef4f053f5f6d0a4209a8f2
500,OFF_THE_SHELF,ASV1_500_27X,ASV1_500_27X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_27X.STEP,1449793,841815e08479e5f565351dca57def47292cb042f78327811a86be249551d50b5
500,OFF_THE_SHELF,ASV1_500_28X,ASV1_500_28X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_28X.STEP,1449793,841815e08479e5f565351dca57def47292cb042f78327811a86be249551d50b5
500,OFF_THE_SHELF,ASV1_500_29X,ASV1_500_29X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_29X.STEP,1449793,841815e08479e5f565351dca57def47292cb042f78327811a86be249551d50b5
500,OFF_THE_SHELF,ASV1_500_30X,ASV1_500_30X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_30X.STEP,1449793,841815e08479e5f565351dca57def47292cb042f78327811a86be249551d50b5
500,OFF_THE_SHELF,ASV1_500_31X,ASV1_500_31X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_31X.STEP,20049,9931a242fd05225d68c00926301bfd4e64e53031f6088640e89fdd54a9ab7312
500,OFF_THE_SHELF,ASV1_500_32X,ASV1_500_32X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_32X.STEP,898603,bef89c3c39e7c699024f176eeb41ed07033563f34b79b61e663156799f957002
500,OFF_THE_SHELF,ASV1_500_33X,ASV1_500_33X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_33X.STEP,898603,bef89c3c39e7c699024f176eeb41ed07033563f34b79b61e663156799f957002
